hour_start_iso,hour_start_ms,open,high,low,close,volume,trades_count,vwap
2025-07-06T14:00:00+00:00,1751810400000,39.366,39.564,39.158,39.425,117556.67,,
2025-07-06T15:00:00+00:00,1751814000000,39.427,39.443,39.06,39.365,69142.03,,
2025-07-06T16:00:00+00:00,1751817600000,39.367,39.515,39.173,39.515,57693.34,,
2025-07-06T17:00:00+00:00,1751821200000,39.496,39.543,39.317,39.401,63934.9,,
2025-07-06T18:00:00+00:00,1751824800000,39.399,39.496,39.057,39.254,94860.24,,
2025-07-06T19:00:00+00:00,1751828400000,39.255,39.393,39.176,39.382,46310.45,,
2025-07-06T20:00:00+00:00,1751832000000,39.382,39.662,39.381,39.556,93917.65,,
2025-07-06T21:00:00+00:00,1751835600000,39.557,39.82,39.524,39.778,140258.78,,
2025-07-06T22:00:00+00:00,1751839200000,39.78,40.049,39.721,39.984,151453.85,,
2025-07-06T23:00:00+00:00,1751842800000,39.984,40.033,39.55,39.851,100680.56,,
2025-07-07T00:00:00+00:00,1751846400000,39.852,39.989,39.58,39.692,100618.52,,
2025-07-07T01:00:00+00:00,1751850000000,39.694,39.773,39.505,39.716,70501.0,,
2025-07-07T02:00:00+00:00,1751853600000,39.718,40.02,39.717,39.945,84684.47,,
2025-07-07T03:00:00+00:00,1751857200000,39.948,40.163,39.827,39.843,88316.64,,
2025-07-07T04:00:00+00:00,1751860800000,39.85,39.953,39.661,39.667,58158.3,,
2025-07-07T05:00:00+00:00,1751864400000,39.675,39.782,39.59,39.718,87575.22,,
2025-07-07T06:00:00+00:00,1751868000000,39.718,39.961,39.675,39.748,82301.97,,
2025-07-07T07:00:00+00:00,1751871600000,39.748,39.94,39.637,39.931,48524.17,,
2025-07-07T08:00:00+00:00,1751875200000,39.93,40.026,39.828,39.951,86731.86,,
2025-07-07T09:00:00+00:00,1751878800000,39.956,39.956,39.645,39.702,85038.28,,
2025-07-07T10:00:00+00:00,1751882400000,39.702,39.768,39.497,39.587,61787.47,,
2025-07-07T11:00:00+00:00,1751886000000,39.587,39.724,39.5,39.591,69839.37,,
2025-07-07T12:00:00+00:00,1751889600000,39.591,39.676,39.38,39.566,79031.15,,
2025-07-07T13:00:00+00:00,1751893200000,39.564,39.751,39.4,39.72,146053.71,,
2025-07-07T14:00:00+00:00,1751896800000,39.713,39.868,39.408,39.609,218136.42,,
2025-07-07T15:00:00+00:00,1751900400000,39.61,39.702,39.459,39.459,90859.85,,
2025-07-07T16:00:00+00:00,1751904000000,39.469,39.576,39.092,39.104,197584.44,,
2025-07-07T17:00:00+00:00,1751907600000,39.104,39.378,38.879,39.113,127992.17,,
2025-07-07T18:00:00+00:00,1751911200000,39.113,39.203,38.67,39.081,177683.6,,
2025-07-07T19:00:00+00:00,1751914800000,39.083,39.441,38.757,38.9,204331.17,,
2025-07-07T20:00:00+00:00,1751918400000,38.904,38.904,38.391,38.515,318600.11,,
2025-07-07T21:00:00+00:00,1751922000000,38.509,38.669,38.0,38.417,242993.43,,
2025-07-07T22:00:00+00:00,1751925600000,38.421,38.513,38.182,38.513,129010.04,,
2025-07-07T23:00:00+00:00,1751929200000,38.513,38.706,38.434,38.557,43914.73,,
2025-07-08T00:00:00+00:00,1751932800000,38.555,38.885,38.455,38.804,98928.28,,
2025-07-08T01:00:00+00:00,1751936400000,38.804,38.822,37.98,38.008,183415.26,,
2025-07-08T02:00:00+00:00,1751940000000,38.008,38.012,37.0,37.196,489005.58,,
2025-07-08T03:00:00+00:00,1751943600000,37.187,37.561,37.114,37.381,144643.46,,
2025-07-08T04:00:00+00:00,1751947200000,37.38,37.493,37.097,37.355,90664.39,,
2025-07-08T05:00:00+00:00,1751950800000,37.352,37.461,36.964,37.299,225584.06,,
2025-07-08T06:00:00+00:00,1751954400000,37.296,37.74,37.254,37.673,193486.32,,
2025-07-08T07:00:00+00:00,1751958000000,37.671,37.888,37.517,37.888,162376.26,,
2025-07-08T08:00:00+00:00,1751961600000,37.888,38.0,37.592,37.698,131535.95,,
2025-07-08T09:00:00+00:00,1751965200000,37.699,38.1,37.591,37.95,79306.69,,
2025-07-08T10:00:00+00:00,1751968800000,37.951,38.406,37.86,38.32,186332.34,,
2025-07-08T11:00:00+00:00,1751972400000,38.323,38.411,38.097,38.183,88093.15,,
2025-07-08T12:00:00+00:00,1751976000000,38.185,38.429,38.183,38.351,81034.14,,
2025-07-08T13:00:00+00:00,1751979600000,38.352,38.394,37.958,38.314,97261.49,,
2025-07-08T14:00:00+00:00,1751983200000,38.311,38.321,37.583,37.667,220347.85,,
2025-07-08T15:00:00+00:00,1751986800000,37.668,37.839,37.519,37.619,195253.1,,
2025-07-08T16:00:00+00:00,1751990400000,37.618,37.83,37.498,37.765,147398.29,,
2025-07-08T17:00:00+00:00,1751994000000,37.768,38.831,37.762,38.528,541241.74,,
