ts,close,signal_score,score_smooth,rsi_14,bb_pctB,funding_bps,bull_regime,buy_alert,sell_alert,alert_confidence,alert_reasons
2025-02-26 13:00:00+00:00,19.536,1,1.57350411716532,44.03522005967625,,,0,0,0,0.0,
2025-02-26 14:00:00+00:00,20.338,3,2.144102470299192,51.752834598844125,,,0,0,0,0.0,
2025-02-26 15:00:00+00:00,20.136,1,1.6864614821795152,49.88681688668834,,,0,0,0,0.0,
2025-02-26 16:00:00+00:00,19.919,-1,0.611876889307709,47.88919978322042,,,0,0,0,0.0,
2025-02-26 17:00:00+00:00,19.423,-1,-0.03287386641537463,43.59241132639472,,,0,0,0,0.0,
2025-02-26 18:00:00+00:00,18.967,-2,-0.8197243198492248,40.035902694531366,,,0,0,0,0.0,
2025-02-26 19:00:00+00:00,18.717,-2,-1.2918345919095349,38.19601676179364,,,0,0,0,0.0,
2025-02-26 20:00:00+00:00,19.907,-1,-1.1751007551457209,49.979659210542195,,,0,0,0,0.0,
2025-02-26 21:00:00+00:00,19.636,-1,-1.1050604530874326,47.74703067327752,,,0,0,0,0.0,
2025-02-26 22:00:00+00:00,19.629,-1,-1.0630362718524595,47.68777312810905,,,0,0,0,0.0,
2025-02-26 23:00:00+00:00,19.572,-1,-1.0378217631114757,47.174362532848335,,,0,0,0,0.0,
2025-02-27 00:00:00+00:00,20.076,1,-0.22269305786688537,52.086351584842966,,,0,0,0,0.0,
2025-02-27 01:00:00+00:00,20.291,2,0.6663841652798689,54.049250131514064,,,0,0,0,0.0,
2025-02-27 02:00:00+00:00,19.791,-1,-0.00016950083207870983,49.01973836560561,,,0,0,0,0.0,
2025-02-27 03:00:00+00:00,20.213,1,0.3998982995007528,52.99535131515164,,,0,0,0,0.0,
2025-02-27 04:00:00+00:00,20.192,1,0.6399389797004517,52.774794685769216,,,0,0,0,0.0,
2025-02-27 05:00:00+00:00,20.642,3,1.5839633878202712,56.91295188667837,,,0,0,0,0.0,
2025-02-27 06:00:00+00:00,20.759,3,2.150378032692163,57.94478861264909,,,0,0,0,0.0,
2025-02-27 07:00:00+00:00,20.736,3,2.490226819615298,57.652501911019165,,,0,0,0,0.0,
2025-02-27 08:00:00+00:00,20.615,3,2.694136091769179,56.05066728096036,,,0,0,0,0.0,
